Feature,Importance
Colesterol,0.20835774980629523
Idade,0.17291150256569873
Fumante_Sim,0.141753063454394
IMC,0.13447608964681224
Alcool_Encoded,0.0932537489127646
Horas_Trabalho,0.06278695857299464
Historico_Familiar_Sim,0.058929054093293146
Horas_Sono,0.05133932356268679
Passos_Diarios,0.04269506204161235
Calorias,0.010803729365122835
Agua_Litros,0.006877338622221173
Pressao_Diastolica,0.005223677083334917
Pressao_Sistolica,0.005067560398704525
Frequencia_Cardiaca_Repouso,0.0045679024770007536
Sexo_Masculino,0.0009572393970639465
